Line Name,Measurement Type,promoter 1,promoter 2,promoter 3,abs @470nm w/DMSO,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
S4.C3.R3.P1,promoter 1,,,,,
S4.C3.R3.P2,promoter 2,,,,,
S4.C3.R3.P3,promoter 3,,,,,
S4.C3.R3.LY,abs @470nm w/DMSO,,,,,
